,subject,date,NM,eid,fiber,region,nph_file,nph_bnc,comment,photometry_path_a,photometry_path_b,digital_inputs_path,alyx_exists,taskData_exists,taskData_alfpath,n_timestamps_nph,n_timestamps_bpod,drift_ppm,timestamps_diff
10,ZFM-03059,2021-08-31,5HT,12b299c1-69de-4c40-a8a3-c83d13d77a31,probe01,Region1G,,0,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-31/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/DI0_M1_M4_TCW_S3_31Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,226,225,-13.80280401,-1
11,ZFM-03061,2021-08-31,5HT,ecb124ad-ff23-497b-9143-8383f5dc55dd,probe05,Region4G,,1,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-31/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/DI1_M1_M4_TCW_S3_31Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,222,222,-20.66428815,0
12,ZFM-03061,2021-08-31,5HT,ecb124ad-ff23-497b-9143-8383f5dc55dd,probe04,Region6G,,1,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-31/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/DI1_M1_M4_TCW_S3_31Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,222,222,-20.66428815,0
13,ZFM-03062,2021-08-31,5HT,b7b186ee-1b36-4b1a-ae15-70078c472f97,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-08-31/002/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/PhotometryData_M3_M2_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/DI1_M3_M2_TCW_S3_31Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,390,389,14.53909584,-1
14,ZFM-03065,2021-08-31,5HT,c5cdd496-7400-4c0f-b326-55016bce4fcf,probe03,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-08-31/002/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/PhotometryData_M3_M2_TCW_S3_31Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S3_31Aug2021/DI0_M3_M2_TCW_S3_31Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,344,343,-30.00210328,-1
15,ZFM-03059,2021-09-01,5HT,fd22820d-a2c2-4c06-b90e-f399344e1c0a,probe01,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-01/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/PhotometryData_M1_M4_TCW_S4_01Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/DI0_M1_M4_TCW_S4_01Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,214,213,-1.65943635,-1
16,ZFM-03061,2021-09-01,5HT,5a7a0c65-f296-45e6-8a30-64c2e90f5047,probe04,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-01/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/PhotometryData_M1_M4_TCW_S4_01Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/DI1_M1_M4_TCW_S4_01Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,300,300,-8.889185698,0
17,ZFM-03061,2021-09-01,5HT,5a7a0c65-f296-45e6-8a30-64c2e90f5047,probe05,Region6G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-01/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/PhotometryData_M1_M4_TCW_S4_01Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/DI1_M1_M4_TCW_S4_01Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,300,300,-8.889185698,0
18,ZFM-03062,2021-09-01,5HT,27f7dd36-9a7c-4bbb-98ba-7d0c9efc9c6e,probe02,Region4G,,1,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-09-01/PhotometryData_M3_M2_TCW_S4_01Sep2021_2.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/PhotometryData_M3_M2_TCW_S4_01Sep2021_2.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/DI1_M3_M2_TCW_S4_01Sep2021_2.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,413,413,-1.356141513,0
19,ZFM-03065,2021-09-01,5HT,386e3195-48c0-4e5a-8e87-63482a68b8d1,probe03,Region1G,,0,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-09-01/PhotometryData_M3_M2_TCW_S4_01Sep2021_2.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/PhotometryData_M3_M2_TCW_S4_01Sep2021_2.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S4_01Sep2021/DI0_M3_M2_TCW_S4_01Sep2021_2.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,340,339,8.666393168,-1
