path,subject,date
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-04534/2022-09-14,ZFM-04534,2022-09-14
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-04534/2022-09-21,ZFM-04534,2022-09-21
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05235/2023-06-20,ZFM-05235,2023-06-20
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05235/2023-01-05,ZFM-05235,2023-01-05
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05236/2022-11-05,ZFM-05236,2022-11-05
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05236/2022-11-28,ZFM-05236,2022-11-28
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05245/2023-02-17,ZFM-05245,2023-02-17
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05245/2023-01-31,ZFM-05245,2023-01-31
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05248/2023-03-21,ZFM-05248,2023-03-21
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05248/2023-06-20,ZFM-05248,2023-06-20
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05248/2022-11-28,ZFM-05248,2022-11-28
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-05248/2022-11-29,ZFM-05248,2022-11-29
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-06271/2023-11-10,ZFM-06271,2023-11-10
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-06272/2023-09-14,ZFM-06272,2023-09-14
