path,subject,date,region,folder1,folder2,present
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-08-31/001,ZFM-03059,2021-08-31,,False,False,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-01/001,ZFM-03059,2021-09-01,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-02/001,ZFM-03059,2021-09-02,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-03/001,ZFM-03059,2021-09-03,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-06/001,ZFM-03059,2021-09-06,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-07/001,ZFM-03059,2021-09-07,,False,False,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-09/003,ZFM-03059,2021-09-09,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-10/001,ZFM-03059,2021-09-10,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-13/001,ZFM-03059,2021-09-13,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-14/001,ZFM-03059,2021-09-14,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-15/001,ZFM-03059,2021-09-15,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-16/001,ZFM-03059,2021-09-16,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-17/001,ZFM-03059,2021-09-17,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-20/001,ZFM-03059,2021-09-20,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-21/001,ZFM-03059,2021-09-21,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-22/001,ZFM-03059,2021-09-22,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-23/002,ZFM-03059,2021-09-23,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-24/001,ZFM-03059,2021-09-24,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-27/001,ZFM-03059,2021-09-27,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-28/002,ZFM-03059,2021-09-28,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-29/001,ZFM-03059,2021-09-29,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-30/001,ZFM-03059,2021-09-30,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-01/002,ZFM-03059,2021-10-01,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-04/001,ZFM-03059,2021-10-04,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-05/002,ZFM-03059,2021-10-05,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-07/002,ZFM-03059,2021-10-07,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-08/001,ZFM-03059,2021-10-08,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-09/002,ZFM-03059,2021-10-09,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-11/002,ZFM-03059,2021-10-11,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-12/001,ZFM-03059,2021-10-12,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-13/001,ZFM-03059,2021-10-13,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-14/001,ZFM-03059,2021-10-14,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-15/001,ZFM-03059,2021-10-15,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-19/019,ZFM-03059,2021-10-19,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-20/002,ZFM-03059,2021-10-20,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-21/001,ZFM-03059,2021-10-21,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-22/001,ZFM-03059,2021-10-22,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-25/001,ZFM-03059,2021-10-25,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-26/001,ZFM-03059,2021-10-26,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-27/001,ZFM-03059,2021-10-27,Region1G,True,True,B
